sweep_family,value,decision,I_int_margin,I_ri_margin,nearest_abs_margin,I_leg_margin
integration_floor_negative_control,0.25,FAIL,0.058624,-0.073119,0.058624,
integration_floor_negative_control,0.26,FAIL,0.048624,-0.073119,0.048624,
integration_floor_negative_control,0.27,FAIL,0.038624,-0.073119,0.038624,
integration_floor_negative_control,0.275,FAIL,0.033624,-0.073119,0.033624,
integration_floor_negative_control,0.28,AMBIGUOUS,0.028624,-0.073119,0.028624,
integration_floor_negative_control,0.285,AMBIGUOUS,0.023624,-0.073119,0.023624,
integration_floor_negative_control,0.29,AMBIGUOUS,0.018624,-0.073119,0.018624,
integration_floor_negative_control,0.295,AMBIGUOUS,0.013624,-0.073119,0.013624,
integration_floor_negative_control,0.3,AMBIGUOUS,0.008624,-0.073119,0.008624,
integration_floor_negative_control,0.305,AMBIGUOUS,0.003624,-0.073119,0.003624,
integration_floor_negative_control,0.309,AMBIGUOUS,-0.000376,-0.073119,0.000376,
integration_floor_negative_control,0.312,AMBIGUOUS,-0.003376,-0.073119,0.003376,
integration_floor_negative_control,0.315,AMBIGUOUS,-0.006376,-0.073119,0.006376,
integration_floor_negative_control,0.32,AMBIGUOUS,-0.011376,-0.073119,0.011376,
integration_floor_negative_control,0.325,AMBIGUOUS,-0.016376,-0.073119,0.016376,
integration_floor_negative_control,0.33,AMBIGUOUS,-0.021376,-0.073119,0.021376,
integration_floor_negative_control,0.335,AMBIGUOUS,-0.026376,-0.073119,0.026376,
integration_floor_negative_control,0.34,FAIL,-0.031376,-0.073119,0.031376,
integration_floor_negative_control,0.35,FAIL,-0.041376,-0.073119,0.041376,
integration_floor_negative_control,0.36,FAIL,-0.051376,-0.073119,0.051376,
integration_floor_negative_control,0.37,FAIL,-0.061376,-0.073119,0.061376,
legibility_clean_acc_positive,0.88,PASS,,,,0.1
legibility_clean_acc_positive,0.89,PASS,,,,0.1
legibility_clean_acc_positive,0.9,PASS,,,,0.1
legibility_clean_acc_positive,0.91,PASS,,,,0.09
legibility_clean_acc_positive,0.92,PASS,,,,0.08
legibility_clean_acc_positive,0.93,PASS,,,,0.07
