family,blind_id,threshold_profile,primary_decision,replica_decision,externalization_decision,first_binding_invariant,reason
family1,RB_F1_01,base,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family1,RB_F1_01,local_loose,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family1,RB_F1_01,local_tight,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family1,RB_F1_02,base,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,nearest invariant margin I_ri=0.007 lies inside ambiguity band
family1,RB_F1_02,local_loose,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,nearest invariant margin I_ri=0.007 lies inside ambiguity band
family1,RB_F1_02,local_tight,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,nearest invariant margin I_ri=0.007 lies inside ambiguity band
family1,RB_F1_03,base,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
family1,RB_F1_03,local_loose,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
family1,RB_F1_03,local_tight,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
family2,RB_F2_01,base,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family2,RB_F2_01,local_loose,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family2,RB_F2_01,local_tight,PASS,PASS,PASS,I_leg,all six invariant margins remain positive with headroom beyond the ambiguity band
family2,RB_F2_02,base,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,certification failed and nearest invariant I_ri=-0.028 lies inside ambiguity band
family2,RB_F2_02,local_loose,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,certification failed and nearest invariant I_ri=-0.028 lies inside ambiguity band
family2,RB_F2_02,local_tight,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,I_ri,certification failed and nearest invariant I_ri=-0.028 lies inside ambiguity band
family2,RB_F2_03,base,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
family2,RB_F2_03,local_loose,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
family2,RB_F2_03,local_tight,FAIL,FAIL,FAIL,I_ri,certification failed because invariant margins crossed below zero: I_ri
