family,blind_id,threshold_profile,primary_decision,replica_decision,externalization_decision
family1,RB_F1_01,base,PASS,PASS,PASS
family1,RB_F1_01,local_loose,PASS,PASS,PASS
family1,RB_F1_01,local_tight,PASS,PASS,PASS
family1,RB_F1_02,base,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family1,RB_F1_02,local_loose,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family1,RB_F1_02,local_tight,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family1,RB_F1_03,base,FAIL,FAIL,FAIL
family1,RB_F1_03,local_loose,FAIL,FAIL,FAIL
family1,RB_F1_03,local_tight,FAIL,FAIL,FAIL
family2,RB_F2_01,base,PASS,PASS,PASS
family2,RB_F2_01,local_loose,PASS,PASS,PASS
family2,RB_F2_01,local_tight,PASS,PASS,PASS
family2,RB_F2_02,base,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family2,RB_F2_02,local_loose,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family2,RB_F2_02,local_tight,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS
family2,RB_F2_03,base,FAIL,FAIL,FAIL
family2,RB_F2_03,local_loose,FAIL,FAIL,FAIL
family2,RB_F2_03,local_tight,FAIL,FAIL,FAIL
