target,threshold_profile,primary_decision,replica_decision
A_family2_positive_raw,base,PASS,PASS
A_family2_positive_raw,local_loose,PASS,PASS
A_family2_positive_raw,local_tight,PASS,PASS
A_family2_positive_raw,legibility_tight,PASS,PASS
A_family2_positive_raw,differentiation_tight,PASS,PASS
A_family2_negative_raw,base,FAIL,FAIL
A_family2_negative_raw,local_loose,FAIL,FAIL
A_family2_negative_raw,local_tight,FAIL,FAIL
A_family2_negative_raw,legibility_tight,FAIL,FAIL
A_family2_negative_raw,differentiation_tight,FAIL,FAIL
